0.200499,0.201472
0.201032,0.201495
0.261430,0.202499
0.311103,0.204135
0.365028,0.207299
0.381344,0.207889
0.381142,0.207869
0.381052,0.207853
0.381043,0.207839
0.381100,0.207831
0.381214,0.207834
0.381374,0.207853
0.381563,0.207890
0.381758,0.207937
0.381948,0.207984
0.436455,0.222632
0.482794,0.236213
0.536241,0.252145
0.561292,0.259337
0.560843,0.259172
0.560429,0.259043
0.560086,0.258952
0.559837,0.258897
0.559677,0.258866
0.559639,0.258860
0.562403,0.259121
0.618188,0.260538
0.671603,0.261694
0.724981,0.262290
0.762985,0.262800
0.770931,0.262929
0.770180,0.262871
0.769413,0.262789
0.768668,0.262689
0.767957,0.262578
0.767282,0.262458
0.766654,0.262338
0.800938,0.270380
0.855586,0.284213
0.903252,0.296666
0.956190,0.310772
0.996926,0.320963
0.997640,0.321128
1.057774,0.332066
1.114392,0.340855
1.172709,0.347477
1.233121,0.352558
1.282534,0.355782
1.337598,0.359194
1.394121,0.362030
1.447869,0.365005
1.497203,0.367502
1.544639,0.370472
1.597218,0.373453
1.637235,0.376584
1.637334,0.376601
